小区名称,销售情况,区划,区域,周边地铁,建筑材质,建造年份,房价,在售房数,成交数量,正在出租,Cluster
歌华大厦,"['30天成交0套', '0套正在出租']",东城,东直门,近地铁2号线雍和宫站,2,2008年,,,30,0,0
官房大院胡同,"['30天成交0套', '0套正在出租']",东城,灯市口,近地铁5号线东四站,9,1955-1990年,154442.0,,30,0,3
飞龙桥胡同,"['30天成交0套', '1套正在出租']",东城,西单,近地铁1号线八通线天安门东站,9,1992年,,,30,1,0
东四二条11号院,"['30天成交0套', '1套正在出租']",东城,东四,近地铁5号线东四站,11,1981-1990年,119003.0,,30,1,1
东四三条,"['30天成交0套', '0套正在出租']",东城,东四,近地铁2号线朝阳门站,9,1955-2013年,162458.0,,30,0,3
东四南大街,"['30天成交0套', '0套正在出租']",东城,金宝街,近地铁5号线东四站,9,1970-1980年,,,30,0,0
大兴胡同,"['30天成交0套', '1套正在出租']",东城,交道口,近地铁5号线北新桥站,9,1960-2009年,195863.0,,30,1,6
大雅宝胡同,"['30天成交0套', '2套正在出租']",东城,朝阳门内,近地铁2号线朝阳门站,9,1955-2020年,,,30,2,0
东营房八条,"['30天成交0套', '0套正在出租']",东城,朝阳门外,,14,1980-1995年,105456.0,,30,0,1
东堂子胡同49号院,"['30天成交0套', '5套正在出租']",东城,建国门内,近地铁5号线灯市口站,11,1988年,119766.0,,30,5,1
东旺胡同,"['30天成交0套', '3套正在出租']",东城,交道口,近地铁5号线北新桥站,9,1963-2022年,,,30,3,0
青碳局胡同,"['30天成交0套', '0套正在出租']",东城,交道口,近地铁2号线雍和宫站,9,1950-2021年,151108.0,,30,0,3
平安发展大厦,"['30天成交0套', '0套正在出租']",东城,东四,近地铁5号线张自忠路站,2,未知,,,30,0,0
普渡寺东巷,"['30天成交0套', '2套正在出租']",东城,东单,近地铁8号线金鱼胡同站,14,1980-2003年,136558.0,,30,2,3
炮局胡同,"['30天成交0套', '0套正在出租']",东城,东直门,近地铁2号线雍和宫站,9,1980年,,,30,0,0
炮局二条,"['30天成交0套', '0套正在出租']",东城,东直门,近地铁2号线雍和宫站,9,未知,,,30,0,0
炮局胡同甲34号院,"['30天成交0套', '0套正在出租']",东城,东直门,,11,未知,,,30,0,0
潘家坡胡同,"['30天成交0套', '0套正在出租']",东城,朝阳门外,,11,1985年,,,30,0,0
前永康胡同,"['30天成交0套', '1套正在出租']",东城,东直门,近地铁2号线雍和宫站,9,1980-2010年,147414.0,,30,1,3
飞龙桥胡同,"['30天成交0套', '1套正在出租']",东城,西单,近地铁1号线八通线天安门东站,9,1992年,,,30,1,0
灯笼库胡同,"['30天成交0套', '0套正在出租']",东城,东单,近地铁1号线八通线天安门东站,9,1980-2003年,159375.0,,30,0,3
东罗圈胡同,"['30天成交0套', '1套正在出租']",东城,金宝街,近地铁5号线灯市口站,9,1955-1999年,,,30,1,0
大菊胡同,"['30天成交0套', '0套正在出租']",东城,东四,近地铁2号线东直门站,9,1956-1984年,147798.0,,30,0,3
灯市东口,"['30天成交0套', '0套正在出租']",东城,灯市口,近地铁5号线灯市口站,0,1990年,,,30,0,0
东四块玉南街2号院,"['30天成交0套', '0套正在出租']",东城,左安门,近地铁5号线天坛东门站,2,1980-1983年,104997.0,,30,0,1
东四九条,"['30天成交0套', '0套正在出租']",东城,东四,近地铁5号线张自忠路站,14,1980-2000年,,,30,0,0
灯市口西街5号院,"['30天成交0套', '0套正在出租']",东城,灯市口,近地铁8号线金鱼胡同站,11,1986年,130845.0,,30,0,3
东石槽胡同,"['30天成交0套', '0套正在出租']",东城,金宝街,近地铁5号线灯市口站,9,1995年,,,30,0,0
灯市口北巷,"['30天成交0套', '0套正在出租']",东城,灯市口,近地铁8号线中国美术馆站,9,未知,,,30,0,0
东四五条,"['30天成交0套', '0套正在出租']",东城,东四,近地铁5号线张自忠路站,14,1955-2010年,153411.0,,30,0,3
东四六条,"['30天成交1套', '0套正在出租']",东城,东四,近地铁5号线张自忠路站,14,1955-2004年,114744.0,,30,0,1
东四头条,"['30天成交0套', '0套正在出租']",东城,东四,近地铁5号线东四站,9,1960年,,,30,0,0
东四块玉南街甲9号楼,"['30天成交0套', '1套正在出租']",东城,左安门,近地铁5号线天坛东门站,11,1980-1998年,87312.0,,30,1,4
东四十一条,"['30天成交0套', '2套正在出租']",东城,东四,近地铁2号线东四十条站,13,1958-1988年,184949.0,,30,2,6
东四二条11号院,"['30天成交0套', '1套正在出租']",东城,东四,近地铁5号线东四站,11,1981-1990年,119003.0,,30,1,1
东四三条,"['30天成交0套', '0套正在出租']",东城,东四,近地铁2号线朝阳门站,9,1955-2013年,162458.0,,30,0,3
东绦胡同,"['30天成交0套', '1套正在出租']",东城,安定门,近地铁2号线鼓楼大街站,9,1975-1986年,,,30,1,0
东堂子胡同57号院,"['30天成交0套', '0套正在出租']",东城,建国门内,近地铁5号线灯市口站,11,1988年,114708.0,,30,0,1
大学夹道,"['30天成交0套', '0套正在出租']",东城,东四,近地铁8号线中国美术馆站,9,1980年,,,30,0,0
东四南大街,"['30天成交0套', '0套正在出租']",东城,金宝街,近地铁5号线东四站,9,1970-1980年,,,30,0,0
大兴胡同,"['30天成交0套', '1套正在出租']",东城,交道口,近地铁5号线北新桥站,9,1960-2009年,195863.0,,30,1,6
大羊宜宾胡同35号院,"['共66个户型', '30天成交0套', '5套正在出租']",东城,建国门内,近地铁1号线八通线建国门站,11,1988年,102002.0,,66,5,1
顶银胡同,"['共2个户型', '30天成交0套', '0套正在出租']",东城,建国门内,近地铁1号线八通线建国门站,9,1980年,,,2,0,0
东直门内北小街16号,"['共55个户型', '30天成交0套', '4套正在出租']",东城,东直门,近地铁2号线东直门站,1,2003年,92305.0,,55,4,4
富贵园二区,"['共139个户型', '30天成交1套', '5套正在出租']",东城,东花市,近地铁7号线广渠门内站,2,2003-2004年,104285.0,,139,5,1
地坛北里,"['30天成交0套', '10套正在出租']",东城,和平里,近地铁5号线和平里北街站,12,1965-2002年,124459.0,,30,10,1
富贵园一区,"['30天成交0套', '7套正在出租']",东城,东花市,近地铁7号线广渠门内站,11,2003-2008年,133556.0,,30,7,3
法华南里,"['30天成交1套', '13套正在出租']",东城,崇文门,近地铁5号线天坛东门站,5,1990-1996年,99508.0,,30,13,1
大羊宜宾胡同33号院,"['共34个户型', '30天成交0套', '1套正在出租']",东城,建国门内,近地铁1号线八通线建国门站,11,1992-1997年,112125.0,,34,1,1
复康南里,"['30天成交0套', '2套正在出租']",东城,天坛,近地铁8号线天桥站,12,1978-1999年,89689.0,,30,2,4
东直门外斜街,"['共26个户型', '30天成交0套', '2套正在出租']",东城,东直门,,2,1988-1992年,102336.0,,26,2,1
东总布胡同,"['共47个户型', '30天成交0套', '5套正在出租']",东城,建国门内,近地铁1号线八通线建国门站,14,1990年,107716.0,,47,5,1
东直门外小街8号院,"['30天成交0套', '1套正在出租']",东城,东直门,近地铁2号线东直门站,11,1995-1998年,90406.0,,30,1,4
东中街,"['30天成交0套', '11套正在出租']",东城,东直门,近地铁2号线东四十条站,12,1982-2000年,104678.0,,30,11,1
